date,year,carrier_code,carrier_name,alliance,aircraft_type,flight_no,origin_iata,dest_iata,tail,review_url,origin_name,origin_city,origin_state,origin_country,origin_lat,origin_lon,dest_name,dest_city,dest_state,dest_country,dest_lat,dest_lon
20230910,2023,XP,Avelo Airlines,Independent,A738,XP641,MCO,RDU,N805VL,,Orlando International Airport,Orlando,Florida,United States,28.429399,-81.308998,Raleigh-Durham International Airport,Morrisville / Raleigh-Durham,North Carolina,United States,35.878659,-78.7873
20230911,2023,DL,Delta Air Lines,SkyTeam,CRJ9,DAL5006,RDU,DCA,N181GJ,,Raleigh-Durham International Airport,Morrisville / Raleigh-Durham,North Carolina,United States,35.878659,-78.7873,Ronald Reagan Washington National Airport,"Arlington / Washington, DC",Virginia,United States,38.8521,-77.037697
20231110,2023,SY,Suncountry Airlines,Independent,A737,SY194,BWI,MSP,N808SY,,Baltimore/Washington International Thurgood Marshall Airport,Linthicum / Baltimore,Maryland,United States,39.1754,-76.668297,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741
20231111,2023,DL,Delta Air Lines,SkyTeam,A752,DAL1604,MSP,ATL,N660DL,,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20231111,2023,DL,Delta Air Lines,SkyTeam,A752,DAL2711,ATL,BWI,N820DX,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Baltimore/Washington International Thurgood Marshall Airport,Linthicum / Baltimore,Maryland,United States,39.1754,-76.668297
20231130,2023,DL,Delta Air Lines,SkyTeam,A738,DAL964,IAD,ATL,N3771K,,Washington Dulles International Airport,"Dulles / Washington, DC",Virginia,United States,38.9445,-77.455803,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20231130,2023,DL,Delta Air Lines,SkyTeam,A321,DAL894,ATL,SAN,N119DN,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002
20240110,2024,DL,Delta Air Lines,SkyTeam,E175,DAL5755,DCA,JFK,N210JQ,,Ronald Reagan Washington National Airport,"Arlington / Washington, DC",Virginia,United States,38.8521,-77.037697,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317
20240110,2024,DL,Delta Air Lines,SkyTeam,B752,DAL1887,JFK,SXM,N542US,,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317,Princess Juliana International Airport,Simpson Bay,Sint Maarten,Sint Maarten,18.041,-63.108898
20240112,2024,AF,Air France,SkyTeam,A320,AF609,SXM,PTP,FGKXR,https://youtu.be/wo5SJZOkAs4,Princess Juliana International Airport,Simpson Bay,Sint Maarten,Sint Maarten,18.041,-63.108898,Guadeloupe Maryse Conde Airport / Pointe-a-Pitre International Airport,Les Abymes / Pointe-a-Pitre,Guadeloupe,Guadeloupe / France,16.265443,-61.532754
20240112,2024,TX,Air Caraibes,Independent,AT72,TX306,PTP,SFG,FOSIV,,Guadeloupe Maryse Conde Airport / Pointe-a-Pitre International Airport,Les Abymes / Pointe-a-Pitre,Guadeloupe,Guadeloupe / France,16.265443,-61.532754,Grand Case-Esperance Airport / L'Esperance Airport,Grand Case,Saint Martin,Saint Martin / France,18.100057,-63.047444
20240113,2024,SY,Suncountry Airlines,Independent,B738,SY732,SXM,MSP,N808SY,,Princess Juliana International Airport,Simpson Bay,Sint Maarten,Sint Maarten,18.041,-63.108898,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741
20240114,2024,DL,Delta Air Lines,SkyTeam,A319,DAL1138,MSP,DCA,N331NB,,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741,Ronald Reagan Washington National Airport,"Arlington / Washington, DC",Virginia,United States,38.8521,-77.037697
20240224,2024,DL,Delta Air Lines,SkyTeam,A321,DL2872,BWI,MSP,N382DN,,Baltimore/Washington International Thurgood Marshall Airport,Linthicum / Baltimore,Maryland,United States,39.1754,-76.668297,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741
20240224,2024,DL,Delta Air Lines,SkyTeam,A319,DL611,MSP,MEX,N333NB,,Minneapolis-Saint Paul International Airport,Minneapolis-Saint Paul,Minnesota,United States,44.880081,-93.221741,Mexico City International Airport - Benito Juarez,Mexico City,Mexico City,Mexico,19.435822,-99.07033
20240224,2024,AM,Aeromexico,SkyTeam,B38M,AM352,MEX,MZT,XACCO,https://youtu.be/wcAHMpdQMPA,Mexico City International Airport - Benito Juarez,Mexico City,Mexico City,Mexico,19.435822,-99.07033,General Rafael Buelna International Airport,Mazatlan,Sinaloa,Mexico,23.162823,-106.264517
20240224,2024,Y4,Volaris,Independent,A21N,Y4593,MZT,TIJ,XAVUE,https://youtu.be/tp46pLkZy4c,General Rafael Buelna International Airport,Mazatlan,Sinaloa,Mexico,23.162823,-106.264517,Tijuana International Airport - General Abelardo L. Rodriguez,Tijuana,Baja California,Mexico,32.541043,-116.969976
20240228,2024,DL,Delta Air Lines,SkyTeam,A221,DL1363,SAN,SEA,N139DU,,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002,Seattle-Tacoma International Airport,SeaTac / Seattle-Tacoma,Washington,United States,47.447943,-122.310276
20240228,2024,DL,Delta Air Lines,SkyTeam,B739,DL437,SEA,DTW,N857DZ,,Seattle-Tacoma International Airport,SeaTac / Seattle-Tacoma,Washington,United States,47.447943,-122.310276,Detroit Metropolitan Wayne County Airport,Romulus / Detroit,Michigan,United States,42.21377,-83.353786
20240228,2024,DL,Delta Air Lines,SkyTeam,B717,DL2965,DTW,BWI,N991AT,,Detroit Metropolitan Wayne County Airport,Romulus / Detroit,Michigan,United States,42.21377,-83.353786,Baltimore/Washington International Thurgood Marshall Airport,Linthicum / Baltimore,Maryland,United States,39.1754,-76.668297
20240413,2024,DL,Delta Air Lines,SkyTeam,B739,DAL2386,ATL,JFK,N810DN,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317
20240414,2024,HA,Hawaiian Airlines,Independent,A332,HAL51,JFK,HNL,N389HA,https://youtu.be/dGX5TXcUNdU,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317,Daniel K. Inouye International Airport,Honolulu,Hawaii,United States,21.318387,-157.92567
20240415,2024,HA,Hawaiian Airlines,Independent,B788,HAL12,HNL,SFO,N781HA,https://youtu.be/h_u-wqkBFt8,Daniel K. Inouye International Airport,Honolulu,Hawaii,United States,21.318387,-157.92567,San Francisco International Airport,San Francisco / San Mateo County,California,United States,37.619806,-122.374821
20240415,2024,DL,Delta Air Lines,SkyTeam,B739,DAL1101,SFO,ATL,N896DN,,San Francisco International Airport,San Francisco / San Mateo County,California,United States,37.619806,-122.374821,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20240912,2024,DL,Delta Air Lines,SkyTeam,B764,DAL30,ATL,LHR,N828MH,https://youtu.be/l-eK7AseFIs,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,London Heathrow Airport,London / Hillingdon,England,United Kingdom,51.470748,-0.459909
20240913,2024,KQ,Kenya Airways,SkyTeam,B788,KQA101,LHR,NBO,5Y-KZA,https://youtu.be/q_SE20Z4LXk,London Heathrow Airport,London / Hillingdon,England,United Kingdom,51.470748,-0.459909,Jomo Kenyatta International Airport,Nairobi,Nairobi County,Kenya,-1.318886,36.928233
20240914,2024,KQ,Kenya Airways,SkyTeam,E190,KQA654,NBO,KIS,5Y-FFK,,Jomo Kenyatta International Airport,Nairobi,Nairobi County,Kenya,-1.318886,36.928233,Kisumu International Airport,Kisumu,Kisumu County,Kenya,-0.086139,34.728901
20240920,2024,KQ,Kenya Airways,SkyTeam,E190,KQA671,KIS,NBO,5Y-FFA,,Kisumu International Airport,Kisumu,Kisumu County,Kenya,-0.086139,34.728901,Jomo Kenyatta International Airport,Nairobi,Nairobi County,Kenya,-1.318886,36.928233
20240921,2024,KQ,Kenya Airways,SkyTeam,B788,KQA112,NBO,CDG,5Y-KZH,,Jomo Kenyatta International Airport,Nairobi,Nairobi County,Kenya,-1.318886,36.928233,Paris Charles de Gaulle Airport,Roissy-en-France / Paris,Ile-de-France,France,49.00896,2.554117
20240921,2024,AF,Air France,SkyTeam,B773,AFR32,CDG,ATL,F-GZNO,https://youtu.be/4fB1k7HsEaI,Paris Charles de Gaulle Airport,Roissy-en-France / Paris,Ile-de-France,France,49.00896,2.554117,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20240922,2024,DL,Delta Air Lines,SkyTeam,B752,DAL1328,ATL,MIA,N697DL,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Miami International Airport,Miami,Florida,United States,25.796011,-80.289751
20240927,2024,DL,Delta Air Lines,SkyTeam,B752,DAL1332,MIA,ATL,N537US,,Miami International Airport,Miami,Florida,United States,25.796011,-80.289751,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20241026,2024,B6,Jet Blue,Independent,A223,JBU2813,ATL,LGA,N3139J,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,LaGuardia Airport,New York,New York,United States,40.777199,-73.872597
20241026,2024,AA,American Airlines,One World,B738,AAL1698,LGA,MIA,N963AN,https://youtu.be/knJ2jCGjsCU,LaGuardia Airport,New York,New York,United States,40.777199,-73.872597,Miami International Airport,Miami,Florida,United States,25.796011,-80.289751
20241026,2024,AA,American Airlines,One World,A319,AAL1898,MIA,ATL,N829AW,,Miami International Airport,Miami,Florida,United States,25.796011,-80.289751,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20241120,2024,DL,Delta Air Lines,SkyTeam,A321,DAL947,ATL,SAN,N115DN,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002
20241124,2024,DL,Delta Air Lines,SkyTeam,A321,DAL731,SAN,ATL,N374DX,,San Diego International Airport,San Diego,California,United States,32.733601,-117.190002,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20241204,2024,AA,American Airlines,One World,A321,AAL2221,ATL,LAX,N153AN,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997
20241204,2024,DL,Delta Air Lines,SkyTeam,A359,DAL93,LAX,BNE,N522DZ,https://youtu.be/DZT-QePKWYA,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997,Brisbane Airport,Brisbane,Queensland,Australia,-27.384199,153.117004
20241207,2024,CI,China Airlines,SkyTeam,A359,CAL53,BNE,AKL,B-18912,https://youtu.be/jup5LPqDS4g,Brisbane Airport,Brisbane,Queensland,Australia,-27.384199,153.117004,Auckland Airport,Auckland / Mangere,Auckland,New Zealand,-37.01199,174.786331
20241208,2024,JQ,Jet Star,Independent,A21N,JST152,AKL,BNE,VH-OFS,https://youtu.be/nBfVbqahQvw,Auckland Airport,Auckland / Mangere,Auckland,New Zealand,-37.01199,174.786331,Brisbane Airport,Brisbane,Queensland,Australia,-27.384199,153.117004
20241208,2024,DL,Delta Air Lines,SkyTeam,A359,DAL92,BNE,LAX,N518DZ,https://youtu.be/VBzX_8QfAgQ,Brisbane Airport,Brisbane,Queensland,Australia,-27.384199,153.117004,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997
20241208,2024,DL,Delta Air Lines,SkyTeam,A21N,DAL327,LAX,ATL,N582DN,,Los Angeles International Airport,Los Angeles,California,United States,33.942501,-118.407997,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
